,Region Name,AIC,PDQ,RMSE,ROI Proj,Worst ROI,Best ROI
94,90650.0,4036.9380114232226,"(2, 2, 2)",508.2141125369949,-30794,-509872,448283
95,11234.0,4337.7448986743475,"(3, 2, 3)",884.8593723429545,223124,-63979,510229
96,92683.0,4147.672274605914,"(3, 2, 3)",621.0733446585542,15079,-691733,721891
97,85710.0,3762.190166482354,"(2, 2, 2)",301.43199061199266,56910,-144124,257946
98,78745.0,3726.6694041071296,"(2, 2, 2)",282.40412671793285,39224,-168634,247082
99,11355.0,4452.96913218125,"(3, 2, 3)",1104.9710533028656,359092,-31183,749368
100,10314.0,4069.977046504686,"(3, 2, 3)",536.9105508636577,287218,21306,553131
101,30281.0,3727.3220657231564,"(3, 2, 3)",280.1831874425906,34780,-126469,196031
102,32210.0,3726.5242579433702,"(3, 2, 3)",279.5031485971512,43019,-94373,180413
103,37075.0,3743.5836589545597,"(3, 2, 3)",289.08429649356884,59040,10819,107262
104,94558.0,4477.734458873158,"(3, 2, 3)",1158.2282544886862,232383,-273361,738128
105,60611.0,1158.9889546390248,"(2, 2, 2)",7123.100022303184,54575,-198482,307633
106,11215.0,5239.181349223344,"(3, 2, 3)",4883.700182646022,747239,300563,1193916
107,90026.0,4448.951740328997,"(2, 2, 2)",1110.195995328737,-129503,-1282380,1023372
108,85225.0,3767.084422127439,"(3, 2, 3)",302.0776576008967,85864,-372096,543825
109,91910.0,4120.049187202811,"(2, 2, 2)",594.5305517237225,-9747,-617927,598432
110,87111.0,3909.7206733094604,"(2, 2, 2)",398.9666219398418,76819,-211856,365496
111,28027.0,3618.303358755604,"(3, 2, 3)",227.8706680102678,47750,2577,92923
112,6010.0,3930.935207208433,"(3, 2, 3)",411.63181093832367,31115,-66799,129030
113,78240.0,3535.2499824336496,"(3, 2, 3)",194.10020866375365,44539,18810,70268
114,87114.0,3658.397786977117,"(3, 2, 3)",245.23211895843923,19974,-27873,67823
115,89108.0,3798.855349733637,"(3, 2, 3)",321.08730752760874,116872,-239751,473497
116,85308.0,3846.1669816827257,"(1, 2, 1)",356.61961197370766,51510,-415556,518577
117,11211.0,5253.915715680812,"(3, 1, 3)",4892.255314256091,803146,215424,1390869
118,17603.0,3494.4939921470946,"(2, 2, 2)",181.41575122836403,25678,-16129,67487
119,93722.0,3759.7397824350587,"(1, 2, 1)",302.7309247062405,49414,-225020,323849
120,80134.0,3849.994558533243,"(3, 2, 3)",353.20575367637156,100874,-44389,246138
121,48180.0,3585.389860933944,"(3, 2, 3)",214.04762562433788,70018,-27015,167051
122,85281.0,3839.1641574866776,"(3, 2, 3)",346.3230474567256,106931,-247146,461009
123,78577.0,3607.1030867635395,"(3, 2, 3)",222.3096142724485,17085,-368,34539
124,94533.0,4095.473049851082,"(3, 2, 3)",562.7926501004674,128468,-551796,808734
125,15601.0,3600.4163777416775,"(2, 2, 2)",221.90499426675902,20849,-40087,81785
126,95608.0,4135.417596833265,"(2, 2, 2)",612.0611153142931,-5624,-492228,480978
127,43081.0,3702.6213498693896,"(3, 2, 3)",267.05220381962505,95607,38124,153090
128,44060.0,3652.8530747215027,"(3, 2, 3)",242.76470002659232,18035,-38253,74325
129,80013.0,3734.7686941739034,"(2, 2, 2)",286.2954072493607,126055,-78088,330200
130,33024.0,3794.785609555866,"(3, 2, 3)",318.29641028385123,-17644,-458350,423060
131,20906.0,4065.239357389545,"(2, 2, 2)",535.6590692490961,31100,-384022,446223
132,33009.0,3879.0933088793417,"(3, 2, 3)",373.3584791080755,69450,-396492,535393
133,90066.0,4671.0705970978615,"(3, 2, 3)",1668.0644653519007,-47498,-1105446,1010449
134,43123.0,3629.1429944252686,"(3, 2, 3)",232.45470218197835,63881,16539,111223
135,97229.0,4514.321167981986,"(3, 2, 3)",1245.0611915988177,53026,-273835,379888
136,76028.0,3621.8943798108753,"(3, 2, 3)",229.15697654509674,106652,48626,164677
137,91709.0,4265.044892288119,"(3, 2, 3)",775.2834119259629,122678,-234129,479486
138,11385.0,4366.897239142667,"(3, 2, 3)",941.7030884537974,296800,-3702,597302
139,85364.0,3776.3235581533204,"(3, 2, 3)",307.53882795324824,3736,-244778,252250
140,11373.0,4466.223722099579,"(3, 2, 3)",1135.7364552990568,175640,-251757,603037
141,14850.0,4075.922657780606,"(3, 1, 3)",527.7386748782849,31892,-5846,69631
